date,month,year,inflation_rate
2006-01-01,January,2006,3.05
2006-02-01,February,2006,-0.55
2006-03-01,March,2006,0.01
2006-04-01,April,2006,-0.1
2006-05-01,May,2006,0.23
2006-06-01,June,2006,0.3
2006-07-01,July,2006,-0.23
2006-08-01,August,2006,0.28
2006-09-01,September,2006,0.64
2006-10-01,October,2006,1.48
2006-11-01,November,2006,0.54
2006-12-01,December,2006,0.28
2007-01-01,January,2007,0.77
2007-02-01,February,2007,-0.3
2007-03-01,March,2007,0.24
2007-04-01,April,2007,-0.24
2007-05-01,May,2007,-0.19
2007-06-01,June,2007,0.56
2007-07-01,July,2007,1.45
2007-08-01,August,2007,0.94
2007-09-01,September,2007,0.98
2007-10-01,October,2007,1.46
2007-11-01,November,2007,0.05
2007-12-01,December,2007,0.7
2008-01-01,January,2008,0.68
2008-02-01,February,2008,1.42
2008-03-01,March,2008,1.15
2008-04-01,April,2008,0.07
2008-05-01,May,2008,2.48
2008-06-01,June,2008,2.93
2008-07-01,July,2008,2.2
2008-08-01,August,2008,1.04
2008-09-01,September,2008,1.64
2008-10-01,October,2008,0.65
2008-11-01,November,2008,0.06
2008-12-01,December,2008,0.03
2009-01-01,January,2009,0.98
2009-02-01,February,2009,-0.31
2009-03-01,March,2009,0.25
2009-04-01,April,2009,-1.26
2009-05-01,May,2009,-0.37
2009-06-01,June,2009,0.34
2009-07-01,July,2009,0.79
2009-08-01,August,2009,1.33
2009-09-01,September,2009,2.66
2009-10-01,October,2009,-0.23
2009-11-01,November,2009,0.24
2009-12-01,December,2009,-0.25
2010-01-01,January,2010,0.49
2010-02-01,February,2010,0.54
2010-03-01,March,2010,-0.87
2010-04-01,April,2010,0.86
2010-05-01,May,2010,0.24
2010-06-01,June,2010,1.41
2010-07-01,July,2010,1.41
2010-08-01,August,2010,1.96
2010-09-01,September,2010,0.95
2010-10-01,October,2010,0.7
2010-11-01,November,2010,1.08
2010-12-01,December,2010,0.77
2011-01-01,January,2011,0.83
2011-02-01,February,2011,0.7
2011-03-01,March,2011,-0.41
2011-04-01,April,2011,-0.1
2011-05-01,May,2011,-0.03
2011-06-01,June,2011,0.29
2011-07-01,July,2011,0.82
2011-08-01,August,2011,0.71
2011-09-01,September,2011,0.75
2011-10-01,October,2011,0.62
2011-11-01,November,2011,-0.19
2011-12-01,December,2011,0.19
2012-01-01,January,2012,0.63
2012-02-01,February,2012,-0.11
2012-03-01,March,2012,-0.21
2012-04-01,April,2012,0.4
2012-05-01,May,2012,0.17
2012-06-01,June,2012,0.79
2012-07-01,July,2012,0.52
2012-08-01,August,2012,1.12
2012-09-01,September,2012,0.32
2012-10-01,October,2012,0.23
2012-11-01,November,2012,-0.29
2012-12-01,December,2012,0.66
2013-01-01,January,2013,1
2013-02-01,February,2013,0.73
2013-03-01,March,2013,0.97
2013-04-01,April,2013,-0.48
2013-05-01,May,2013,-0.4
2013-06-01,June,2013,0.79
2013-07-01,July,2013,2.75
2013-08-01,August,2013,1.27
2013-09-01,September,2013,0.23
2013-10-01,October,2013,0.49
2013-11-01,November,2013,-0.29
2013-12-01,December,2013,0.27
2014-01-01,January,2014,0.02
2014-02-01,February,2014,-0.15
2014-03-01,March,2014,0.74
2014-04-01,April,2014,-0.05
2014-05-01,May,2014,0.04
2014-06-01,June,2014,0.78
2014-07-01,July,2014,1.1
2014-08-01,August,2014,0.78
2014-09-01,September,2014,0.22
2014-10-01,October,2014,0.83
2014-11-01,November,2014,1.04
2014-12-01,December,2014,2.72
2015-01-01,January,2015,-0.29
2015-02-01,February,2015,0.48
2015-03-01,March,2015,-0.63
2015-04-01,April,2015,0.76
2015-05-01,May,2015,0.66
2015-06-01,June,2015,0.7
2015-07-01,July,2015,1.08
2015-08-01,August,2015,0.41
2015-09-01,September,2015,0.02
2015-10-01,October,2015,0.09
2015-11-01,November,2015,0.11
2015-12-01,December,2015,1.17
2016-01-01,January,2016,0.26
2016-02-01,February,2016,-0.51
2016-03-01,March,2016,0.49
2016-04-01,April,2016,-0.76
2016-05-01,May,2016,0.06
2016-06-01,June,2016,0.75
2016-07-01,July,2016,0.53
2016-08-01,August,2016,0.11
2016-09-01,September,2016,0.3
2016-10-01,October,2016,0.58
2016-11-01,November,2016,0.43
2016-12-01,December,2016,0.7
2017-01-01,January,2017,0.84
2017-02-01,February,2017,0.58
2017-03-01,March,2017,-0.06
2017-04-01,April,2017,-0.21
2017-05-01,May,2017,0.89
2017-06-01,June,2017,0.54
2017-07-01,July,2017,-0.09
2017-08-01,August,2017,-0.42
2017-09-01,September,2017,0.25
2017-10-01,October,2017,0.11
2017-11-01,November,2017,0.21
2017-12-01,December,2017,0.47
2018-01-01,January,2018,1.42
2018-02-01,February,2018,0.06
2018-03-01,March,2018,0.11
2018-04-01,April,2018,-0.01
2018-05-01,May,2018,0.05
2018-06-01,June,2018,0.98
2018-07-01,July,2018,-0.04
2018-08-01,August,2018,0.05
2018-09-01,September,2018,-0.2
2018-10-01,October,2018,0.02
2018-11-01,November,2018,0.25
2018-12-01,December,2018,0.31
2019-01-01,January,2019,0.24
2019-02-01,February,2019,-0.33
2019-03-01,March,2019,0.35
2019-04-01,April,2019,0.69
2019-05-01,May,2019,0.81
2019-06-01,June,2019,0.63
2019-07-01,July,2019,0.71
2019-08-01,August,2019,0.12
2019-09-01,September,2019,-0.18
2019-10-01,October,2019,-0.09
2019-11-01,November,2019,0.06
2019-12-01,December,2019,0.47
2020-01-01,January,2020,0.86
2020-02-01,February,2020,0.44
2020-03-01,March,2020,-0.44
2020-04-01,April,2020,-0.16
2020-05-01,May,2020,-0.29
2020-06-01,June,2020,0.03
2020-07-01,July,2020,0.33
2020-08-01,August,2020,0.41
2020-09-01,September,2020,-0.26
2020-10-01,October,2020,0.23
2020-11-01,November,2020,0.09
2020-12-01,December,2020,0.67
2021-01-01,January,2021,0.8
2021-02-01,February,2021,0.12
2021-03-01,March,2021,-0.19
2021-04-01,April,2021,-0.18
2021-05-01,May,2021,0.09
2021-06-01,June,2021,0.2
2021-07-01,July,2021,0.14
2021-08-01,August,2021,-0.53
2021-09-01,September,2021,0.07
2021-10-01,October,2021,0.07
2021-11-01,November,2021,0.53
2021-12-01,December,2021,0.99
2022-01-01,January,2022,0.38
2022-02-01,February,2022,-0.4
2022-03-01,March,2022,0.93
2022-04-01,April,2022,0.81
2022-05-01,May,2022,0.58
2022-06-01,June,2022,1.22
2022-07-01,July,2022,0.75
2022-08-01,August,2022,-0.34
2022-09-01,September,2022,1.35
2022-10-01,October,2022,-0.5
2022-11-01,November,2022,0.01
2022-12-01,December,2022,0.62
2023-01-01,January,2023,0.82
2023-02-01,February,2023,0.16
2023-03-01,March,2023,0.07
2023-04-01,April,2023,0.3
2023-05-01,May,2023,-0.11
2023-06-01,June,2023,0.17
2023-07-01,July,2023,0.03
2023-08-01,August,2023,0.34
2023-09-01,September,2023,0.33
2023-10-01,October,2023,0.28
2023-11-01,November,2023,1.05
2023-12-01,December,2023,0.02
2024-01-01,January,2024,-0.28
2024-02-01,February,2024,0.46
2024-03-01,March,2024,0.17
2024-04-01,April,2024,0.04
2024-05-01,May,2024,0.08
2024-06-01,June,2024,-0.01
2024-07-01,July,2024,-0.01
2024-08-01,August,2024,0.26
2024-09-01,September,2024,0.19
2024-10-01,October,2024,0.16
2024-11-01,November,2024,0.24
2024-12-01,December,2024,0.36
2025-01-01,January,2025,-0.8
2025-02-01,February,2025,-0.59
2025-03-01,March,2025,1.54
2025-04-01,April,2025,1.27
2025-05-01,May,2025,-0.51
2025-06-01,June,2025,0.09
2025-07-01,July,2025,0.08
2025-08-01,August,2025,0.19
2025-09-01,September,2025,0.37
2025-10-01,October,2025,0.22
2025-11-01,November,2025,0.19
2025-12-01,December,2025,0.43
